"Product SKU","Product Name","Price"
"","Колба коническая КН-2-500-34 ТС со шкалой  (Копия)","139"
"993990","Пипетка Мора 2-2-10 с расширением, Украина","62"
"999336","Пипетка Мора 2-2-5 с расширением, Украина","60"
"","Вариация #3662 для Натрий салициловокислый, Ч","188"
"","Вариация #3661 для Натрий салициловокислый, Ч","640"
"130224","Натрий салициловокислый, Ч","188"
"996918","Стакан В-1-250 ТС высокий со шкалой","72"
"991871","Цилиндр 1- 500-2 с носиком","359"
"","Вариация #3653 для Натрий сернокислый кислый 1-водный, Ч","112"
"","Вариация #3652 для Натрий сернокислый кислый 1-водный, Ч","480"
"130247","Натрий сернокислый кислый 1-водный, Ч","112"
"","Вариация #3650 для Калий сернокислый пиро, Ч","172"
"","Вариация #3649 для Калий сернокислый пиро, Ч","2835"
"103145","Калий сернокислый пиро, Ч","172"
"173069","Среда Кода (для выделения и идентификации энтеробактерий), 0,25 кг","1038"
"","Вариация #3606 для Аммоний ванадиевокислый мета, ЧДА","265"
"","Вариация #3605 для Аммоний ванадиевокислый мета, ЧДА","470"
"010232","Аммоний ванадиевокислый мета, ЧДА","265"
"101564","Кальций хлористый безводный (хлорид кальция) гранулы, Ч, 0,5 кг","135"
"906975","Петли микробиологические нихромовые №2, 5 шт./уп.","87"
"996327","Термометр технический СП-2П №2 (0+100) 220/100 керосин","148"
"040668","Глюкоза безводная, 0,5 кг","135"
"173090","Силикагель индикатор, 0,5 кг","250"
"","Вариация #3595 для Перекись водорода, Россия, в пласт. таре  (Копия)","126"
"","Вариация #3594 для Перекись водорода, Россия, в пласт. таре  (Копия)","628"
"800002С","Перекись водорода, Россия, 1 кг в стекл. таре","145"
"013146","Агар-агар микробиологический, Испания, 0,5 кг","3770"
"523072","D-Маннит, Китай, 0,5 кг","550"
"100278","Кальций азотнокислый 4-водный, Ч, 0,5 кг","295"
"220135","Цинк уксуснокислый 2-водный, ЧДА, 0,5 кг","389"
"011309","Аммоний молибденовокислый 4-водный, ЧДА, 0,5 кг","1390"
"103061","Кальций хлористый 6-водный","47"
"110042","Лимонная кислота 1-водная, ХЧ, 0,5 кг","125"
"","Вариация #3557 для Натрий хлористый (хлорид натрия), ЧДА","52"
"","Вариация #3556 для Натрий хлористый (хлорид натрия), ЧДА","83"
"130314","Натрий хлористый (хлорид натрия), ЧДА","52"
"","Вариация #3554 для Натрий фтористый (фторид натрия), ЧДА","110"
"","Вариация #3553 для Натрий фтористый, ЧДА","395"
"130310","Натрий фтористый (фторид натрия), ЧДА","110"
"183064","Таннин, 0,1 кг","535"
"","Вариация #3547 для Калий сернокислый, ХЧ, 0,1 кг","230"
"","Вариация #3546 для Калий сернокислый, ХЧ, 0,1 кг","1000"
"996997","Ловушка к аппарату Аков-10 ГФ 5.887.134","1060"
"220141","Цинк хлористый (хлористый цинк, дихлорид цинка, паяльная кислота), ЧДА, 0,5 кг","240"
"","Вариация #3502 для Малахитовый зеленый","77"
"","Вариация #3501 для Малахитовый зеленый",""
"523008","Малахитовый зеленый, Китай","77"
"","Вариация #3497 для Кристаллический фиолетовый, ЧДА","199"
"","Вариация #3496 для Кристаллический фиолетовый, ЧДА","645"
"100524","Кристаллический фиолетовый (метиловый фиолетовый, метилвиолет), ЧДА","199"
"","Вариация #3493 для Силикагель КСКГ, техн.","235"
"","Вариация #3492 для Силикагель КСКГ, техн.","3240"
"","Вариация #3490 для Силикагель КСМГ, техн.","220"
"","Вариация #3489 для Силикагель КСМГ, техн.","5005"
"173060","Силикагель КСМГ, техн.","220"
"","Вариация #3467 для Катионит КУ-2-8 (Na-форма), техн.","175"
"","Вариация #3466 для Катионит КУ-2-8 (Na-форма), техн.","3570"
"350043","Катионит КУ-2-8 (Na-форма), техн.","175"
"200258","Фуксин основной для ФСК, ЧДА, 0,01 кг","106"
"193038","Универсальный индикатор, ЧДА, 0,01 кг","1015"
"","Вариация #3461 для Калий азотнокислый, ХЧ","220"
"","Вариация #3460 для Калий азотнокислый, ХЧ","940"
"101152","Калий азотнокислый, ХЧ","220"
"050242","Дитизон (дифенилтиокарбазон), ЧДА, 0,01 кг","288"
"130434","Нейтральный красный (основной красный), ЧДА, 0,01 кг","247"
"998187","Штатив для пробирок ШЛПП-02/40, 40 гнёзд, пластмассовый","103"
"","Вариация #3451 для Калий гидроокись (гидроксид калия, едкое кали, каустический поташ), ХЧ, 0,5 кг","152"
"","Вариация #3450 для Калий гидроокись (гидроксид калия, едкое кали, каустический поташ), ХЧ, 0,5 кг","235"
"","Вариация #3448 для Магний углекислый основной, Ч","267"
"","Вариация #3447 для Магний углекислый основной, Ч","2920"
"120058","Магний углекислый основной, Ч","267"
"","Вариация #3440 для Уротропин (гексаметилентетрамин, гексамин), марка С, техн.","207"
"","Вариация #3439 для Уротропин (гексаметилентетрамин, гексамин), марка С, техн.","2500"
"193010","Уротропин (гексаметилентетрамин, гексамин), марка С, техн.","207"
"","Вариация #3429 для Родамин С","182"
"","Вариация #3428 для Родамин С","515"
"560012","Родамин С","182"
"991936","Склянка светлая 1000 мл., узкогорлая с пришлифованной пробкой","224"
"991637","Склянка светлая 125 мл. узкогорлая с пришлифованной пробкой","106"
"996291","Пробирка П1-21-200 химическая","9"
"992457","Колба с тубусом (Бунзена) 1-250-29","172"
"996348","Колба плоскодонная П-1-500-29/32 ТС","316"
"996150","Колба плоскодонная П-1-250-29/32 ТС","270"
"996052","Колба плоскодонная П-1-1000-29/32 ТС","426"
"996090","Стакан №1, 25 мл., фарфор","33"
"993955","Стакан низкий 1000 мл., синие деления, полипропилен","255"
"996193","Колба мерная 2а-50-2 (10/19) с пробкой","118"
"996100","Колба мерная 2а-250-2 (14/23) с пробкой","162"
"996099","Колба мерная 2а-100-2 (10/19) с пробкой","130"
"996101","Колба мерная 2-1000-2 (19/26) пришлифованная пробка","298"
"992526","Колба коническая КН-2-500-34 ТС со шкалой","130"
"996982","Колба коническая КН-2-250-34 ТС со шкалой","93"
"996916","Колба коническая КН-2-100-34 ТС со шкалой","87"
"","Ложка №1, 120 мм, фарфор  (Копия)","93"
"996365","Колба коническая КН-1-500-29/32 ТС со шкалой","320"
"996362","Колба коническая КН-1-250-29/32 ТС со шкалой","231"
"996407","Колба коническая КН-1-1000-29/32 ТС со шкалой","443"
"996044","Колба коническая КН-1-100-29/32 ТС со шкалой","215"
"998920","Банка светлая 500 мл с винтовой крышкой и шкалой, Чехия","246"
"998919","Банка светлая 250 мл с винтовой крышкой и шкалой, Чехия","214"
"999500","Банка светлая 20 мл с винтовой крышкой, широкое горло (№24)","38"
"992519","Банка светлая 1000 мл с винтовой крышкой и шкалой","417"
"992485","Банка светлая 100 мл с винтовой крышкой и шкалой","203"
"998248","Стакан В-1-400 ТС высокий со шкалой, Чехия","169"
"993114","Пробирка мерная П-2-5-10/19","74"
"992318","Пробка стеклянная КШ 10/19","46"
"991714","Пробка стеклянная КШ 19/26","59"
"991562","Колба плоскодонная П-1-100-19/26 ТС","99"
"992195","Пробирка-поплавок 5-45, микробиологическая","11"
"998794","Пробка стеклянная КШ 14/23","48"
"992479","Колба плоскодонная П-1-100-14/23 ТС","170"
"","Вариация #3307 для Железо сернокислое (II) 7-водное (сульфат железа (II), ХЧ","170"
"","Вариация #3306 для Железо сернокислое (II) 7-водное (сульфат железа (II), ХЧ","945"
"070051","Железо сернокислое (II) 7-водное (сульфат железа (II), ХЧ","170"
"120052","Магний сернокислый 7-водный (сульфат магния), Ч, 0,5 кг","60"
"","Вариация #3282 для Натрий азотистокислый, ЧДА, 0,5 кг","34"
"","Вариация #3281 для Натрий азотистокислый, ЧДА","120"
"","Вариация #3271 для Муравьиная кислота (85%), Китай, 1,2 кг","225"
"","Вариация #3270 для Муравьиная кислота (85%), Китай, 1,2 кг","1975"
"","Вариация #3263 для Железо сернокислое (II) 7-водное (сульфат железа (II), Ч","1975"
"","Вариация #3258 для Генцианвиолет, ЧДА","190"
"","Вариация #3257 для Генцианвиолет, ЧДА","665"
"043118","Генцианвиолет, ЧДА","190"
"011171","Аммоний надсернокислый, ЧДА, 0,5 кг","101"
"","Вариация #3225 для Медь сернокислая (II) 5-водная (сульфат меди, медный купорос), Ч","4625"
"130139","Натрий углекислый кислый (гидрокарбонат натрия, пищевая сода), ХЧ, 0,5 кг","145"
"020297","Борная кислота, ОСЧ, 0,5 кг","335"
"170353","Сульфоназо, ЧДА","425"
"","Вариация #3175 для Кадмий хлористый 2,5-водный, Ч","85"
"","Вариация #3174 для Кадмий хлористый 2,5-водный, Ч","365"
"100056","Кадмий хлористый 2,5-водный, Ч","85"
"130266","Натрий тетраборнокислый 10-водный, ЧДА, 0,5 кг","99"
"","Вариация #3170 для Дифенилкарбазон, ЧДА","609"
"","Вариация #3169 для Дифенилкарбазон, ЧДА","1230"
"","Вариация #3168 для Дифенилкарбазон, ЧДА","2010"
"050276","Дифенилкарбазон, ЧДА","609"
"","Вариация #3166 для Цинк сернокислый 7-водный, ХЧ","118"
"","Вариация #3165 для Цинк сернокислый 7-водный, ХЧ","452"
"","Вариация #3164 для Цинк сернокислый 7-водный, ХЧ","11640"
"220128","Цинк сернокислый 7-водный, ХЧ","118"
"131397","Натрий азотистокислый, ЧДА","120"
"","Вариация #3155 для Тимолфталеин, ЧДА","233"
"","Вариация #3154 для Тимолфталеин, ЧДА","2030"
"180163","Тимолфталеин, ЧДА","233"
"","Вариация #3149 для Крахмал растворимый для иодометрии, ЧДА","80"
"","Вариация #3148 для Крахмал растворимый для иодометрии, ЧДА","400"
"100479","Крахмал растворимый для иодометрии, ЧДА","80"
"","Вариация #3139 для Щавелевая кислота 2-водная, ХЧ","78"
"","Вариация #3138 для Щавелевая кислота 2-водная, ХЧ","320"
"","Вариация #3137 для Щавелевая кислота 2-водная, ХЧ","6860"
"250013","Щавелевая кислота 2-водная, ХЧ","78"
"","Вариация #3131 для Сульфосалициловая кислота 2-водная, ЧДА","190"
"","Вариация #3130 для Сульфосалициловая кислота 2-водная, ЧДА","810"
"170356","Сульфосалициловая кислота 2-водная, ЧДА","190"
"120053","Магний сернокислый 7-водный (сульфат магния), ЧДА, 0,5 кг","70"
"","Вариация #3117 для Натрий углекислый кислый (сода пищевая)","59"
"","Вариация #3116 для Спирт поливиниловый, 16/1, техн., 1 кг","8055"
"","Вариация #3115 для Спирт поливиниловый, 16/1, техн., 1 кг","685"
"","Вариация #3113 для Цинк хлористый безводный, Чехия","4475"
"","Вариация #3112 для Кальций хлористый безводный пищевой","25"
"","Вариация #3109 для Марганец сернокислый (II) 5-водный, Ч, 0,5 кг","298"
"","Вариация #3108 для Марганец сернокислый (II) 5-водный, Ч, 0,5 кг","5520"
"","Вариация #3107 для Натрий лимоннокислый 5,5-водный, Ч","80"
"","Вариация #3106 для Натрий лимоннокислый 5,5-водный, Ч","315"
"","Вариация #3105 для Натрий лимоннокислый 5,5-водный, Ч","6520"
"131281","Натрий лимоннокислый 5,5-водный (цитрат натрия), Ч","80"
"","Вариация #3101 для Калий-натрий виннокислый 4-водный (калий-натрий тартрат, сегнетова соль), ЧДА","84"
"","Вариация #3099 для Аммоний двухромовокислый (аммоний дихромат, бихромат аммония), Ч, 0,5 кг","160"
"","Вариация #3098 для Аммоний двухромовокислый (аммоний дихромат, бихромат аммония), Ч","690"
"996614","Колба мерная 2а-5-2 с пластиковой пробкой, Россия","25"
"997388","Колба коническая КН-1-25-19/26 ТС","195"
"992675","Колба мерная 1-50-2 без пробки, Simax","345"
"996314","Колба коническая КН-1-750 29/32, Россия","250"
"","Вариация #3081 для Карбоксиметилцеллюлоза Камцел, техн.","333"
"","Вариация #3080 для Карбоксиметилцеллюлоза Камцел, техн.","4600"
"920153","Карбоксиметилцеллюлоза Камцел, техн.","333"
"100186","Калий роданистый, Ч","117"
"","Вариация #3050 для п-(Диметиламино)бензальдегид, ЧДА","170"
"","Вариация #3049 для п-(Диметиламино)бензальдегид, ЧДА","497"
"052213","п-(Диметиламино)бензальдегид, ЧДА","170"
"","Вариация #3032 для Натрий фосфорнокислый пиро 10-водный, ЧДА","80"
"","Вариация #3031 для Натрий фосфорнокислый пиро 10-водный, ЧДА","270"
"130215","Натрий фосфорнокислый пиро 10-водный (дигидропирофосфат натрия, пирофосфат натрия кислый), ЧДА","80"
"903154","Камера резиновая для отбора проб газа с носиком (футбольная), Кварт","331"
"","Вариация #3022 для Медь уксуснокислая (II) 1-водная, Ч","182"
"","Вариация #3021 для Медь уксуснокислая (II) 1-водная, Ч","689"
"120202","Медь уксуснокислая (II) 1-водная, Ч","182"
"","Вариация #3010 для Натрий N,N-диэтилдитиокарбамат (диэтилдитиокарбамат натрия), ЧДА","120"
"","Вариация #3009 для Натрий N,N-диэтилдитиокарбамат (диэтилдитиокарбамат натрия), ЧДА","560"
"131555","Натрий N,N-диэтилдитиокарбамат (диэтилдитиокарбамат натрия), ЧДА","120"
"","Вариация #2993 для Сульфаминовая кислота, Китай","128"
"","Вариация #2992 для Сульфаминовая кислота, Китай","2100"
"173062","Сульфаминовая кислота, Китай","128"
"","Вариация #2989 для Лимонная кислота пищевая, 0,5 кг","125"
"","Вариация #2988 для Лимонная кислота пищевая","177"
"990208","Склянка светлая 500 мл с пришлифованной пробкой, Германия","430"
"330021","Калий железосинеродистый 0,1Н, 10 шт.","556"
"330045","СТ рН-метрии для приготовления буферных р-ров рН 1,65; 3,56; 4,01; 6,86; 9,18; 12,43  3 разряд","379"
"996066","Ареометр АМТ 1015-1040 для молока","620"
"903562","Бюретка автоматическая Шиллинга 5 мл + бутыль 500 мл, Германия","3880"
"992006","Бюретка автоматическая Шиллинга 25 мл + бутыль 500 мл, Германия","4050"
"997405","Бюретка автоматическая Шиллинга 10 мл + бутыль 500 мл, Германия","4385"
"","Вариация #2895 для Метиловый красный, ЧДА","108"
"","Вариация #2894 для Метиловый красный, ЧДА","378"
"120281","Метиловый красный, ЧДА","108"
"","Вариация #2892 для Иод","245"
"","Вариация #2891 для Иод, Чили","545"
"","Вариация #2890 для Иод, Чили","2430"
"090030","Иод, Чили","245"
"373310","Щавелевая кислота 0,1Н, 5 шт.","77"
"903074","Пробка резиновая №24, 10 шт.","90"
"903073","Пробка резиновая №21,5, 10 шт.","76"
"903069","Пробка резиновая №12.5, 10шт.","23"
"","Пробка резиновая №7.5, 10 шт.","10"
"903067","Пробка резиновая №5, 10 шт","4"
"","Вариация #2881 для Натрий сернистый (сульфид натрия) 9-водный, ЧДА","87"
"","Вариация #2880 для Натрий сернистый 9-водный, ЧДА, 0,5 кг","325"
"050159","N,N-Диметил-п-фенилендиамин солянокислый, 10 грамм","345"
"373260","Кристалл жидкий Х-3 (холестерилацетат), ЧДА, 25 грамм","1110"
"500003","Калий гидроокись (гидроксид калия, едкое кали, каустический поташ), ХЧ","152"
"","Вариация #2858 для Олово двухлористое 2-водное, Ч","268"
"","Вариация #2857 для Олово двухлористое 2-водное, Ч","1169"
"","Вариация #2847 для Черновик","112"
"","Вариация #2846 для Черновик","168"
"130109","Натрий гидроокись (гидроксид натрия, едкий натр, каустическая сода), ХЧ","112"
"","Вариация #2844 для Тиосульфат натрия (гипосульфит) 5-водный, ЧДА, 0,5 кг","65"
"","Вариация #2843 для Тиосульфат натрия (гипосульфит) 5-водный, ЧДА","103"
"996115","Пипетка Пастера 3 мл, стерильная, полиэтилен","6"
"906904","Весы МТ 1,5 В1ЖА &#171;Витрина 6а&#187;","4100"
"907167","Устройство для изготовления сухого льда SnowPack 250, Германия","20730"
"010326","Аммоний щавелевокислый 1-водный, ЧДА, 0,1 кг","160"
"998456","Мешалка магнитная ПЭ-6110 с подогревом","6700"
"906256","Якорь для магнитной мешалки (магнитный мешальник), фторопласт","305"
"","Оплата доставки почтой России","275"
"","Вариация #2793 для Калий азотнокислый (нитрат калия, калиевая селитра), техн.","243"
"","Вариация #2792 для Калий азотнокислый (нитрат калия, калиевая селитра), техн.","3275"
"103063","Калий азотнокислый (нитрат калия, калиевая селитра), техн.","243"
"","Вариация #2780 для Судан I, &#171;Ч&#187;,","90"
"","Product #2778 Variation",""
"170337","Судан I, &#171;Ч&#187;, 10 грамм","90"
"173116","Судан (III) жирорастворимый, ЧДА, 50 грамм","438"
"992623","Спиртовка СЛ-1-100-29/22 со стеклянным колпачком","267"
"997522","Пипетка на полный слив 2-1-2-10","70"
"996450","Пробирка П1-16-150 химическая","4"
"","Вариация #2700 для Цинк азотнокислый (нитрат цинка) 6-водный, Ч","182"
"","Вариация #2699 для Цинк азотнокислый (нитрат цинка) 6-водный, Ч","2760"
"220087","Цинк азотнокислый (нитрат цинка) 6-водный, Ч","182"
"997288","Чашечка (лодочка) для взвешивания, полистирол, белая","3"
"904628","Трубка ПВХ медицинская 10х2, 3 метра","180"
"991130","Стекло предметное 25х75х1,0-1,2 с двумя лунками","26"
"","Вариация #2693 для Свинец уксуснокислый (II) (ацетат свинца(II) 3-водный, ЧДА","147"
"","Вариация #2692 для Свинец уксуснокислый (II) (ацетат свинца(II) 3-водный, ЧДА","505"
"170142","Свинец уксуснокислый (II) (ацетат свинца(II) 3-водный, ЧДА","147"
"","Вариация #2690 для Свинец азотнокислый (II) (нитрат свинца (II), динитрат свинца), ХЧ","173"
"","Вариация #2689 для Свинец азотнокислый (II) (нитрат свинца (II), динитрат свинца), ХЧ","648"
"170524","Свинец азотнокислый (II) (нитрат свинца (II), динитрат свинца), ХЧ","173"
"","Вариация #2687 для Родамин Ж (6Ж, 6G), ЧДА","157"
"","Вариация #2686 для Родамин Ж (6Ж, 6G), ЧДА","450"
"160027","Родамин Ж (6Ж, 6G), ЧДА","157"
"909909","Пробка полиэтиленовая (вкладыш, пробка-заглушка) ППВ-12","1"
"998137","Пробка полиэтиленовая 29/32, Китай","21"
"999162","Пробка полиэтиленовая 14/23, Китай","20"
"999160","Пробка полиэтиленовая 10/19, Китай","11"
"992681","Пробирка микроцентрифужная 2 мл (Эппендорфа), градуир., полипропилен, 500 шт.","385"
"992756","Пипетка Пастера 3 мл,  нестерил., полиэтилен, 500 шт.","620"
"533132","Натрий хлористый таблетированный (хлорид натрия), техн., 1 кг","49"
"130313","Натрий хлористый (хлорид натрия), Ч, 1 кг","34"
"130315","Натрий хлористый (хлорид натрия), ХЧ, 1 кг","75"
"130298","Натрий фосфорнокислый двузамещенный (гидрофосфат натрия) 12-водный, ХЧ, 0,5 кг","192"
"130280","Натрий уксуснокислый 3-водный (ацетат натрия), ЧДА, 0,5 кг","176"
"130138","Натрий углекислый кислый (бикарбонат натрия, натрий двууглекислый), ЧДА, 0,5 кг","92"
"130274","Натрий углекислый (карбонат натрия), ХЧ, 0,5 кг","135"
"130254","Натрий сернокислый 10-водный, ХЧ, 0,5 кг","101"
"130231","Натрий сернистокислый (сульфит натрия), ЧДА, 0,5 кг","77"
"010243","Аммоний двухромовокислый (аммоний дихромат, бихромат аммония), Ч","160"
"","Вариация #2652 для Аурамин О, ЧДА, 0,1 кг","101"
"","Вариация #2651 для Аурамин О, ЧДА, 0,1 кг","460"
"","Вариация #2649 для Сульфаминовая кислота, ХЧ, 0,1 кг","72"
"","Вариация #2648 для Сульфаминовая кислота, ХЧ, 0,1 кг","130"
"","Вариация #2608 для Натрий кремнефтористый (гексафторосиликат натрия), ЧДА","82"
"","Вариация #2607 для Натрий кремнефтористый (гексафторосиликат натрия), ЧДА","195"
"","Вариация #2606 для Натрий кремнефтористый (гексафторосиликат натрия), ЧДА","2340"
"130163","Натрий кремнефтористый (гексафторосиликат натрия), ЧДА","82"
"","Вариация #2604 для Дитионит натрия (гидросульфит), Италия","244"
"","Вариация #2603 для Дитионит натрия (гидросульфит), Италия","3030"
"133062","Дитионит натрия (гидросульфит), Италия, 0,5 кг","245"
"","Вариация #2600 для Натрий азотнокислый (нитрит натрия), Ч","146"
"","Вариация #2599 для Натрий азотнокислый (нитрит натрия), Ч","221"
"130085","Натрий азотнокислый (нитрит натрия), Ч","146"
"","Вариация #2597 для Метиловый фиолетовый (метилвиолет), ЧДА","116"
"","Вариация #2596 для Метиловый фиолетовый (метилвиолет), ЧДА","351"
"120287","Метиловый фиолетовый (метилвиолет), ЧДА","116"
"","Вариация #2594 для Медь сернокислая (II) 5-водная (сульфат меди, медный купорос), Ч","194"
"","Вариация #2593 для Медь сернокислая (II) 5-водная (сульфат меди, медный купорос), Ч","1105"
"","Вариация #2592 для Медь сернокислая (II) 5-водная (сульфат меди, медный купорос), Ч","1315"
"120193","Медь сернокислая (II) 5-водная (сульфат меди, медный купорос), Ч","194"
"","Вариация #2588 для Медь азотнокислая (нитрат меди) 3-водная (II), ЧДА","250"
"","Вариация #2587 для Медь азотнокислая (нитрат меди) 3-водная (II), ЧДА","1150"
"373303","Медь азотнокислая (нитрат меди) 3-водная (II), ЧДА","250"
"","Вариация #2585 для Марганец хлористый (II) 4-водный (хлорид марганца (II), ЧДА","116"
"","Вариация #2584 для Марганец хлористый (II) 4-водный (хлорид марганца (II), ЧДА","504"
"121282","Марганец хлористый (II) 4-водный (хлорид марганца (II), ЧДА","116"
"","Вариация #2582 для Марганец хлористый (II) 4-водный (хлорид марганца (II), Ч","110"
"","Вариация #2581 для Марганец хлористый (II) 4-водный (хлорид марганца (II), Ч","464"
"121281","Марганец хлористый (II) 4-водный (хлорид марганца (II), Ч","110"
"","Вариация #2578 для Лантан азотнокислый 6-водный, ХЧ","334"
"","Вариация #2577 для Лантан азотнокислый 6-водный (нитрат лантана (III), ХЧ","2271"
"110315","Лантан азотнокислый 6-водный (нитрат лантана (III), ХЧ","334"
"113020","Лактоза (Молочный сахар), Германия, 0,5 кг","172"
"","Вариация #2573 для Кобальт азотнокислый (II) 6-водный, Ч","199"
"","Вариация #2572 для Кобальт азотнокислый (II) 6-водный, Ч","764"
"100400","Кобальт азотнокислый (II) 6-водный, Ч","199"
"","Вариация #2570 для Касторовое масло, Индия","229"
"","Вариация #2569 для Касторовое масло, Индия","331"
"103098","Касторовое масло, Индия","229"
"103147","Кальций хлористый (хлорид кальция) безводный (гранулы), техн., 0,5 кг","79"
"","Вариация #2564 для Кальций углекислый (карбонат кальция), ХЧ","183"
"","Вариация #2563 для Кальций углекислый (карбонат кальция), ХЧ","760"
"100357","Кальций углекислый (карбонат кальция), ХЧ","183"
"103071","Кальций окись (оксид кальция, негашеная известь) Германия, 0,5 кг","120"
"103156","Кальций гидроокись (гидроксид кальция, гашеная известь), Германия, 0,5 кг","107"
"","Вариация #2557 для Калий-натрий виннокислый 4-водный (калий-натрий тартрат, сегнетова соль), ЧДА","338"
"","Вариация #2556 для Калий-натрий виннокислый 4-водный (калий-натрий тартрат, сегнетова соль), ЧДА","560"
"100167","Калий-натрий виннокислый 4-водный (калий-натрий тартрат, сегнетова соль), ЧДА","84"
"","Вариация #2554 для Калий хромовокислый (хромат калия), ХЧ","173"
"","Вариация #2553 для Калий хромовокислый (хромат калия), ХЧ","781"
"100258","Калий хромовокислый (хромат калия), ХЧ","173"
"101225","Калий сернокислый кислый (бисульфат калия, гидросульфат калия), Ч, 0,5 кг","447"
"","Вариация #2550 для Калий сернокислый (сульфат калия), ЧДА","93"
"","Вариация #2549 для Калий сернокислый (сульфат калия), ЧДА","400"
"100200","Калий сернокислый (сульфат калия), ЧДА","93"
"","Вариация #2547 для Калий надсернокислый (персульфат калия), Ч","102"
"","Вариация #2546 для Калий надсернокислый (персульфат калия), Ч","416"
"101204","Калий надсернокислый (персульфат калия), Ч","102"
"","Вариация #2542 для Калий (иодад калия) иодноватокислый, ЧДА","450"
"","Вариация #2541 для Калий (иодад калия) иодноватокислый, ЧДА","2002"
"100129","Калий (иодад калия) иодноватокислый, ЧДА","450"
"","Вариация #2539 для Калий иодистый (йодид калия), ХЧ","440"
"","Вариация #2538 для Калий иодистый (йодид калия), ХЧ","1931"
"100126","Калий иодистый (йодид калия), ХЧ","440"
"","Вариация #2536 для Калий двухромовокислый (дихромат калия, хромпик), техн.","367"
"","Вариация #2535 для Калий двухромовокислый (дихромат калия, хромпик), техн.","561"
"103093","Калий двухромовокислый (дихромат калия, хромпик), техн.","367"
"020405","Изобутиловый спирт, ЧДА, 0,8 кг","207"
