"Product SKU","Product Name","Price"
"","Вариация #1500 для Барий сернокислый (сульфат бария) Ч","45"
"","Вариация #1499 для Барий сернокислый (сульфат бария) Ч","140"
"021235","Барий сернокислый (сульфат бария) Ч","45"
"010224","Аммоний фтористый кислый (бифторид аммония), 0,5 кг","178"
"","Оплата заказа №15326","67888"
"","Вариация #1489 для Натрий двухромовокислый ЧДА","56"
"","Вариация #1488 для Натрий двухромовокислый ЧДА","243"
"130142","Натрий двухромовокислый ЧДА","56"
"","Вариация #1479 для Черновик","24"
"","Вариация #1478 для Черновик","90"
"","Вариация #1477 для Черновик","173"
"990867","Щавелевая кислота, Китай","24"
"","Вариация #1475 для Калий азотистокислый ЧДА","136"
"","Вариация #1474 для Калий азотистокислый ЧДА","610"
"100070","Калий азотистокислый ЧДА","136"
"443023","Глицерин, Германия, 6 кг","730"
"133039","Тринатрийфосфат, техн., 1 кг","82"
"120058","Магний углекислый (магнезия) основной, Ч, 0,5 кг","204"
"","Вариация #1422 для Вода дистилированная","46"
"","Вариация #1421 для Вода дистилированная","295"
"033060","Вода дистилированная","46"
"","Вариация #1415 для Селенистая кислота, Ч","528"
"","Вариация #1414 для Селенистая кислота, Ч","2353"
"170761","Селенистая кислота, Ч","528"
"103189ЛР","Кальций хлористый 2-водный для пищевой промышленности Ч, 1 кг","63"
"","Вариация #1404 для Бумага фильтровальная (840х970-1000 мм), 1 кг","375"
"","Вариация #1403 для Бумага фильтровальная (840х970-1000 мм), 1 кг","1455"
"","Вариация #1402 для Бумага фильтровальная (520х600 мм), 1 кг","325"
"","Вариация #1401 для Бумага фильтровальная (520х600 мм), 1 кг","2570"
"906261","Трубка силиконовая 10х2, 5 метров","926"
"996024","Ареометр АСП-3 70-100 для спирта","210"
"905148","Трубка силиконовая 7х1.5, 3 метра","276"
"905063","Трубка силиконовая 6х1.5, 3 метра","236"
"905129","Трубка силиконовая 4х1.5, 1 метр","66"
"203003","Титан двуокись (диоксид титана, титановые белила), 0,5 кг","166"
"203037","Ортофосфорная кислота (85%), Китай, 1,6 кг","315"
"","Вариация #1389 для Натрий азотистокислый (нитрит натрия),","92"
"","Вариация #1388 для Натрий азотистокислый (нитрит натрия),","148"
"133067","Натрий азотистокислый (нитрит натрия), Китай","92"
"","Вариация #1386 для Натрий азотнокислый (нитрат натрия) ХЧ","54"
"","Вариация #1385 для Натрий азотнокислый (нитрат натрия) ХЧ","228"
"130087","Натрий азотнокислый (нитрат натрия) ХЧ","54"
"","Вариация #1382 для Магний сернокислый 7-водный ХЧ","15"
"","Вариация #1381 для Магний сернокислый 7-водный ХЧ","54"
"120054","Магний сернокислый 7-водный ХЧ","15"
"","Вариация #1377 для Лаурилсульфат натрия, Тайвань","86"
"","Вариация #1376 для Лаурилсульфат натрия, Тайвань","306"
"533012ЛР","Лаурилсульфат натрия, Тайвань","86"
"","Вариация #1359 для Натрий тетраборнокислый 10-водный ХЧ","55"
"","Вариация #1358 для Натрий тетраборнокислый 10-водный ХЧ","228"
"130267","Натрий тетраборнокислый 10-водный ХЧ","55"
"980032","Тиомочевина, Китай, 0,5 кг","170"
"","Вариация #1353 для Формалин 37%, техн.","89"
"","Вариация #1352 для Формалин 37%, техн.","740"
"203045","Формалин 37%, техн.","89"
"","Вариация #1350 для Натрий гидроокись, Германия","93"
"","Вариация #1349 для Натрий гидроокись, Германия","148"
"533044ЛР","Натрий гидроокись, Германия","93"
"011378","Аммиак водный ОСЧ, 0,9 кг","84"
"013074","Алюминий сернокислый (АЛГ), Финляндия, 1 кг","73"
"100109","Калий двухромовокислый, ЧДА, 0,5 кг","515"
"260014","Эозин Н, 0,05 кг","343"
"103197","Кальций углекислый, Италия, 0,5 кг","73"
"901944","Электролит для pH &#8212; электрода  KCl конц. 3,0М, 125 мл","537"
"994883","Электрод комбинированный ЭСК-10603/7","2410"
"998339","Термометр лабораторный ТЛ-4 №3 (50&#8230;105) ртуть","2979"
"","Вариация #1276 для Уголь активированный марки БАУ-А, техн.","309"
"","Вариация #1275 для Уголь активированный марки БАУ-А, техн.","2560"
"193012","Уголь активированный марки БАУ-А, техн.","309"
"","Вариация #1269 для Аммоний хлористый ХЧ","24"
"","Вариация #1268 для Аммоний хлористый ХЧ","91"
"010317","Аммоний хлористый ХЧ","24"
"133074","Натрий серноватистокислый (тиосульфат натрия), техн., 0,5 кг","78"
"103074","Калий углекислый (поташ), Южная Корея, 0,5 кг","192"
"","Вариация #1264 для Натрий гидроокись ЧДА, Россия","40"
"103288","Калий бромистый (бромид калия), Германия, 0,5 кг","369"
"900002","Карбонат натрия безводный марки Б, техн., 1 кг","45"
"","Вариация #1260 для Натрий сернокислый безводный ХЧ","27"
"","Вариация #1259 для Натрий сернокислый безводный ХЧ","114"
"130246","Натрий сернокислый безводный ХЧ","27"
"","Вариация #1257 для Метол","515"
"","Вариация #1256 для Метол","2311"
"523013","Метол, Индия","515"
"","Вариация #1253 для Гематоксилин, США","827"
"","Вариация #1252 для Гематоксилин, США","3855"
"","Вариация #1251 для Гематоксилин, США","37697"
"443022","Гематоксилин, США","827"
"133045","Бура марки А, техн., 1 кг","148"
"420124","Бумага индикаторная универсальная рН 0-12, 100 полосок, Чехия","267"
"","Вариация #1245 для Гидрофобизатор НЕОГАРД для дерева","886"
"","Вариация #1244 для Гидрофобизатор НЕОГАРД для дерева","2060"
"070016","Гидрофобизатор НЕОГАРД для дерева","886"
"193028","Уголь активированный марка АГ-3, техн., 1 кг","361"
"","Вариация #1221 для Перекись водорода, марка Б, в/сорт, технич.","128"
"","Вариация #1220 для Перекись водорода, марка Б, в/сорт, технич.","864"
"153098","Перекись водорода, марка Б, в/сорт, технич.","128"
"","Вариация #1214 для Дихлорэтан ХЧ","78"
"","Вариация #1213 для Дихлорэтан ХЧ","366"
"053066","Дихлорэтан ХЧ","78"
"","Вариация #1210 для Олово двухлористое, Китай","232"
"","Вариация #1209 для Олово двухлористое, Китай","1060"
"143056","Олово двухлористое, Китай","232"
"","Вариация #1207 для Калий железосинеродистый (красная кровяная соль)","110"
"","Вариация #1206 для Калий железосинеродистый (красная кровяная соль)","452"
"100117","Калий железосинеродистый (красная кровяная соль)","110"
"","Вариация #1204 для Лантан хлористый 7-водный ХЧ","711"
"","Вариация #1203 для Лантан хлористый 7-водный ХЧ","5766"
"110317","Лантан хлористый 7-водный ХЧ","711"
"","Вариация #1198 для Натрий углекислый кислый (сода пищевая)","63"
"","Вариация #1197 для Натрий углекислый кислый (сода пищевая)","950"
"133089","Натрий углекислый кислый (сода пищевая)","63"
"093007","Известь натронная (поглотитель ХП-И), техн., 0,5 кг","505"
"","Вариация #1193 для Магний хлористый 6-водный ЧДА","57"
