"Product SKU","Product Name","Price"
"","Вариация #2169 для Цинк хлористый безводный, Чехия","344"
"","Вариация #2167 для Цинк хлористый безводный, Чехия","204"
"980021","Цинк хлористый безводный, Чехия","204"
"991172","Чашка Петри 100 мм, полистирол, 10 шт.","200"
"996909","Чашка Петри 60 мм одноразовая, полистирол, 10 шт.","100"
"583120","ЭДТУК-динатриевая соль (ТРИЛОН Б), Китай, 0,5 кг","246"
"904584","Трубка ПВХ медицинская 6х1.5-1.3, 10 метров","257"
"213045","Хром окись (VI) (хромовый ангидрид) марка А, техн., 1 кг","456"
"213040","Хром окись (окись хрома) (III) марка ОХП-1, техн., 0,5 кг","403"
"390111","Фильтры красная лента 18 см, 100 штук, (М)","131"
"393002","Фильтры красная лента 18 см, 100 штук","153"
"393000","Фильтры белая лента 18 см, 100 штук","152"
"390004","Фильтры АФА-ХП-10-1, 50 шт.","261"
"","Вариация #2151 для Цинк гранулы, ЧДА","90"
"","Вариация #2150 для Цинк гранулы, ЧДА","338"
"220106","Цинк гранулы, ЧДА","90"
"","Вариация #2147 для Гидроксиламин сернокислый, Ч","88"
"","Вариация #2146 для Гидроксиламин сернокислый, Ч","312"
"040119","Гидроксиламин сернокислый, Ч","88"
"030046","Висмут азотнокислый (III) 5-водный, ЧДА, 0,1 кг","491"
"033047","Ванадий окись (оксид ванадия) (V), ЧДА, 0,1 кг","375"
"","Вариация #2140 для Бромтимоловый синий, ЧДА","448"
"","Вариация #2139 для Бромтимоловый синий, ЧДА","1992"
"020337","Бромтимоловый синий, ЧДА","448"
"","Вариация #2137 для Бромкрезоловый зеленый, ЧДА","776"
"","Вариация #2136 для Бромкрезоловый зеленый, ЧДА","3495"
"020306","Бромкрезоловый зеленый, ЧДА","776"
"","Вариация #2124 для Метиленовый синий, ЧДА","103"
"","Вариация #2123 для Метиленовый синий, ЧДА","460"
"123064","Метиленовый синий, ЧДА","103"
"123051","Метиленовый голубой, 0,05 кг","442"
"","Вариация #2119 для Индигокармин, ЧДА","160"
"","Вариация #2118 для Индигокармин, ЧДА","655"
"090015","Индигокармин, ЧДА","160"
"903327","Пленка герметизирующая Parafilm M №701605 Brand","1930"
"","Вариация #2110 для Калий азотнокислый, ЧДА, 0,5 кг","102"
"","Вариация #2109 для Калий азотнокислый, ЧДА, 0,5 кг","305"
"170379","Сульфаминовая кислота, ХЧ, 0,1 кг","101"
"","Вариация #2090 для Янтарная кислота","105"
"","Вариация #2089 для Янтарная кислота","341"
"283001","Янтарная кислота","105"
"173066","Сера молотая, техническая, 1 кг","67"
"","Вариация #2084 для Гидразин гидрат, Германия","922"
